document_id,title,source_path,source_org,source_type,authority_level,effective_status,effective_date,retrieved_at,checksum,file_type,page_count,char_count,replacement_chars,use_for_rag,exclusion_reason
c2d70dab461ee6,백일해_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\백일해_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,f195d35f584744cd4fc2d9955f930862519bd2680aabd4511d9bac52071047b3,md,0,6609,0,True,
1a9c433e6b4ea6,법령 _ 본문 _ 감염병의 예방 및 관리에 관한 법률 시행령,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\법령 _ 본문 _ 감염병의 예방 및 관리에 관한 법률 시행령.md,국가법령정보센터,law,A,current,2026,2026-07-02,3e9e7dd1d0e5a38496d9598b370a40005727d1f410e529ff73d6a5710970a6d2,md,0,65241,0,True,
1f8c41a59c9658,법령 _ 본문 _ 감염병의 예방 및 관리에 관한 법률,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\법령 _ 본문 _ 감염병의 예방 및 관리에 관한 법률.md,국가법령정보센터,law,A,current,2026,2026-07-02,49227005c2a6a9a1e1b144da99d8265f92748917d9d1f13a1d66e124b596eb1a,md,0,95643,0,True,
77eeac43cf9746,수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,질병관리청,official_web,A,current,2026,2026-07-02,9b0db94bbb40909f5e644926c13e1770f41ca281c62048848ca2277fdbe15d37,md,0,606,0,True,
0534a7149468c3,수두_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,8347b07b467a7cfa115c165c4ac981f20fdd5999c117f77e908db50386818640,md,0,14079,0,True,
d8ba817089eae9,신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,2c958422b67c3918457393315cf4dc7b5b349f530808d76a24018a14f1f24039,md,0,8458,0,True,
9177cc90040450,신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,질병관리청,official_web,A,current,2026,2026-07-02,4829d152300d352000e18143a040529767fe3b84b49ecc80e8669b8938a0268b,md,0,841,0,True,
e010055caa1290,유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,질병관리청,official_web,A,current,2026,2026-07-02,09f7b53da06c414753356ceaa5956064d65b52180843d295c274ab0904ca056d,md,0,759,0,True,
3d54878dbd78ff,유행성이하선염_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,7a34d28de9ee99ccaf885e0e72e7a36df2b4c5915a232c965d4c4618ff783f2a,md,0,10975,0,True,
2420ff2f63d396,일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,질병관리청,official_web,A,current,2026,2026-07-02,60704c218dc2a8e6959ae4ef616a9083d5dcce2afcb540394772c650591350ea,md,0,1160,0,True,
3a76ff6469795d,일본뇌염_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\일본뇌염_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,d61662af842a6c628e9394ee7394bb52f316ca6c43fa2640a4102f4c9caa6f31,md,0,4428,0,True,
11e1121160d490,전국 말라리아 주의보 발령(6.22.월),C:\Users\user\Documents\AI 활용 경진대회\RAG_document\전국 말라리아 주의보 발령(6.22.월).md,질병관리청,official_web,A,current,2026,2026-07-02,626d22705dc9ccd67a970c5efab98597a20111797bd88d1f0417963f96c7c75b,md,0,2293,0,True,
346513a1352a2e,전국 일본뇌염 주의보 발령(3.20.금),C:\Users\user\Documents\AI 활용 경진대회\RAG_document\전국 일본뇌염 주의보 발령(3.20.금).md,질병관리청,official_web,A,current,2026,2026-07-02,1a0158ab13369809ff9210c434111545f9c67bd7ec5bdbee5800f6d77e444e21,md,0,6184,0,True,
d573af0e09319e,쯔쯔가무시증_질병관리청_국가건강정보포털,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\쯔쯔가무시증_질병관리청_국가건강정보포털.md,질병관리청,official_web,A,current,2026,2026-07-02,312854c892a3dbe83f89ba600af0c6afacafe79a6e073f0c538bc2cc079f8681,md,0,8652,0,True,
