year,age_band,sex,disease_class,disease,cases,source_file
2016,30~34세,male,제2급,A형간염,534,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제2급,A형간염,349,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제2급,A형간염,1148,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제2급,A형간염,661,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제2급,A형간염,487,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제2급,A형간염,780,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제2급,A형간염,476,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제2급,A형간염,304,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제2급,A형간염,429,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제2급,A형간염,247,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제2급,A형간염,182,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제2급,A형간염,171,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제2급,A형간염,97,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제2급,A형간염,74,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제2급,A형간염,90,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제2급,A형간염,53,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제2급,A형간염,37,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제2급,A형간염,42,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제2급,A형간염,22,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제2급,A형간염,20,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제2급,A형간염,91,2016_기본통계_성별_연령별.xlsx
2016,65세이상,male,제2급,A형간염,49,2016_기본통계_성별_연령별.xlsx
2016,65세이상,female,제2급,A형간염,42,2016_기본통계_성별_연령별.xlsx
2016,연령미상,all,제2급,A형간염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,male,제2급,A형간염,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,female,제2급,A형간염,0,2016_기본통계_성별_연령별.xlsx
2016,all,all,제2급,백일해,129,2016_기본통계_성별_연령별.xlsx
2016,all,male,제2급,백일해,61,2016_기본통계_성별_연령별.xlsx
2016,all,female,제2급,백일해,68,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제2급,백일해,32,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제2급,백일해,15,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제2급,백일해,17,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제2급,백일해,16,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제2급,백일해,11,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제2급,백일해,5,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제2급,백일해,14,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제2급,백일해,8,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제2급,백일해,6,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제2급,백일해,7,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제2급,백일해,5,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제2급,백일해,1,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제2급,백일해,1,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제2급,백일해,1,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제2급,백일해,4,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제2급,백일해,4,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제2급,백일해,5,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제2급,백일해,3,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제2급,백일해,6,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제2급,백일해,2,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제2급,백일해,4,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제2급,백일해,33,2016_기본통계_성별_연령별.xlsx
2016,65세이상,male,제2급,백일해,14,2016_기본통계_성별_연령별.xlsx
2016,65세이상,female,제2급,백일해,19,2016_기본통계_성별_연령별.xlsx
2016,연령미상,all,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,male,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,연령미상,female,제2급,백일해,0,2016_기본통계_성별_연령별.xlsx
2016,all,all,제2급,유행성이하선염,17057,2016_기본통계_성별_연령별.xlsx
2016,all,male,제2급,유행성이하선염,10380,2016_기본통계_성별_연령별.xlsx
2016,all,female,제2급,유행성이하선염,6677,2016_기본통계_성별_연령별.xlsx
2016,0~4세,all,제2급,유행성이하선염,3192,2016_기본통계_성별_연령별.xlsx
2016,0~4세,male,제2급,유행성이하선염,1859,2016_기본통계_성별_연령별.xlsx
2016,0~4세,female,제2급,유행성이하선염,1333,2016_기본통계_성별_연령별.xlsx
2016,5~9세,all,제2급,유행성이하선염,5947,2016_기본통계_성별_연령별.xlsx
2016,5~9세,male,제2급,유행성이하선염,3537,2016_기본통계_성별_연령별.xlsx
2016,5~9세,female,제2급,유행성이하선염,2410,2016_기본통계_성별_연령별.xlsx
2016,10~14세,all,제2급,유행성이하선염,2484,2016_기본통계_성별_연령별.xlsx
2016,10~14세,male,제2급,유행성이하선염,1582,2016_기본통계_성별_연령별.xlsx
2016,10~14세,female,제2급,유행성이하선염,902,2016_기본통계_성별_연령별.xlsx
2016,15~19세,all,제2급,유행성이하선염,2974,2016_기본통계_성별_연령별.xlsx
2016,15~19세,male,제2급,유행성이하선염,2216,2016_기본통계_성별_연령별.xlsx
2016,15~19세,female,제2급,유행성이하선염,758,2016_기본통계_성별_연령별.xlsx
2016,20~24세,all,제2급,유행성이하선염,519,2016_기본통계_성별_연령별.xlsx
2016,20~24세,male,제2급,유행성이하선염,275,2016_기본통계_성별_연령별.xlsx
2016,20~24세,female,제2급,유행성이하선염,244,2016_기본통계_성별_연령별.xlsx
2016,25~29세,all,제2급,유행성이하선염,393,2016_기본통계_성별_연령별.xlsx
2016,25~29세,male,제2급,유행성이하선염,213,2016_기본통계_성별_연령별.xlsx
2016,25~29세,female,제2급,유행성이하선염,180,2016_기본통계_성별_연령별.xlsx
2016,30~34세,all,제2급,유행성이하선염,330,2016_기본통계_성별_연령별.xlsx
2016,30~34세,male,제2급,유행성이하선염,185,2016_기본통계_성별_연령별.xlsx
2016,30~34세,female,제2급,유행성이하선염,145,2016_기본통계_성별_연령별.xlsx
2016,35~39세,all,제2급,유행성이하선염,291,2016_기본통계_성별_연령별.xlsx
2016,35~39세,male,제2급,유행성이하선염,153,2016_기본통계_성별_연령별.xlsx
2016,35~39세,female,제2급,유행성이하선염,138,2016_기본통계_성별_연령별.xlsx
2016,40~44세,all,제2급,유행성이하선염,266,2016_기본통계_성별_연령별.xlsx
2016,40~44세,male,제2급,유행성이하선염,119,2016_기본통계_성별_연령별.xlsx
2016,40~44세,female,제2급,유행성이하선염,147,2016_기본통계_성별_연령별.xlsx
2016,45~49세,all,제2급,유행성이하선염,211,2016_기본통계_성별_연령별.xlsx
2016,45~49세,male,제2급,유행성이하선염,79,2016_기본통계_성별_연령별.xlsx
2016,45~49세,female,제2급,유행성이하선염,132,2016_기본통계_성별_연령별.xlsx
2016,50~54세,all,제2급,유행성이하선염,132,2016_기본통계_성별_연령별.xlsx
2016,50~54세,male,제2급,유행성이하선염,56,2016_기본통계_성별_연령별.xlsx
2016,50~54세,female,제2급,유행성이하선염,76,2016_기본통계_성별_연령별.xlsx
2016,55~59세,all,제2급,유행성이하선염,132,2016_기본통계_성별_연령별.xlsx
2016,55~59세,male,제2급,유행성이하선염,48,2016_기본통계_성별_연령별.xlsx
2016,55~59세,female,제2급,유행성이하선염,84,2016_기본통계_성별_연령별.xlsx
2016,60~64세,all,제2급,유행성이하선염,62,2016_기본통계_성별_연령별.xlsx
2016,60~64세,male,제2급,유행성이하선염,18,2016_기본통계_성별_연령별.xlsx
2016,60~64세,female,제2급,유행성이하선염,44,2016_기본통계_성별_연령별.xlsx
2016,65세이상,all,제2급,유행성이하선염,124,2016_기본통계_성별_연령별.xlsx
