rank,disease,nps,amr,smr,rate_male_20_24,rate_all,rq_top3_mean,seasonality,peak_month,actionability,cases_military,top_regions,top_months
1,말라리아,100.0,7.920406170340733,15.64376324228869,8.052335370367713,1.0166568730428258,2.044180895795848,0.2537071987058506,7,0.8,781.0,"인천(2.7), 경기(2.3), 강원(1.0)","7월(25%), 6월(22%), 8월(18%)"
2,쯔쯔가무시증,85.37596629626005,0.1860883792539626,1.780704041807872,2.4776416524208345,13.314327645572607,3.5998395922538458,0.5633118965169754,11,0.8,100.0,"전남(4.6), 경남(3.2), 전북(3.0)","11월(56%), 10월(23%), 12월(7%)"
3,신증후군출혈열,78.56130996243154,1.6165049614374098,16.037334842411425,1.2898310955249639,0.7979134777155494,3.9095365066136982,0.23707555827470175,11,1.0,105.0,"전남(4.7), 전북(3.6), 충남(3.5)","11월(24%), 10월(15%), 12월(11%)"
4,일본뇌염,37.15227842099471,0.2046747246274748,0.906064115390476,0.007287181330649513,0.03560371874892122,1.8510695485827018,0.4166666666666667,10,1.0,0.0,"강원(2.1), 광주(2.0), 서울(1.5)","10월(42%), 9월(41%), 8월(9%)"
5,백일해,23.00992589495941,0.025006284347791903,0.15101068589841266,0.014574362661299026,0.582827998698094,2.643059710804774,0.1340899537620849,11,0.8,40.0,"경남(3.7), 세종(2.3), 광주(1.9)","11월(13%), 12월(13%), 8월(11%)"
6,A형간염,18.759219246168705,0.46927495054036744,0.5940537098960902,4.911560216857771,10.466274006746232,2.3086998892300175,0.11809385809105356,5,0.8,102.0,"대전(3.0), 세종(2.1), 충남(1.8)","5월(12%), 8월(11%), 6월(11%)"
7,수두,3.6819333634042866,0.21255557499193822,0.8828317021753356,21.322292573480475,100.31396529726018,1.6642499283442609,0.13208102253138274,12,0.8,1262.0,"제주(1.9), 세종(1.7), 경남(1.4)","12월(13%), 5월(11%), 11월(11%)"
8,유행성이하선염,0.0,0.32463945147695517,0.897236209926087,8.147068727666156,25.095744496243036,1.4858559933258817,0.12173693315450852,5,0.8,188.0,"광주(1.5), 경남(1.5), 울산(1.4)","5월(12%), 6월(11%), 4월(10%)"
